"","post_surve","feature","prolificID","SubID","confirm_code"
"26","Theshape",1,"59174554ae2bf10001929670",26,"Ol5UrvK5.txt"
"27","Theplacementofthelowerparts,shapeoftheobjects,andtheplacementofthetoppartslookdifferentineachpair.Somelooksimilarbutwithaslighttwist(?)tothem.",1,"5b4a1351645156000125e101",27,"P3Lsy1mB.txt"
"28","Thelittleblocks",3,"58dc21b27f59b30001457aba",28,"QU54ovRe.txt"
"29","Themiddlebottombrickhadeithermoreofashade,orlessofashade.",2,"5ae66b527edeb000014a9250",29,"QVQoaMZD.txt"
"30","thegrayshapeattachedtothelowerleftsideofthelargershape",1,"5b6269125256470001bd0e71",30,"rfBTPv0i.txt"
"31","Therockswereatdifferentangles",1,"569e72698ad3f8000674224e",31,"sBUKeuOA.txt"
"32","Themiddlelineonthelefthalfofthefigurehaddifferentangleswiththemiddlelineoftherighthalf.Also,thegeneralshapeoftheobjectwasdifferentforsomepairs",1,"someweremoreangledandsomewerealmostlikerectangles.",32,"SGEdyx2i.txt"
"33","Thesquaresontopoftheshape",1,"59ff85cb7542890001aa60f1",33,"T8NjfaZu.txt"
"34","Thebottomhalf",2,"5753b4be7d985200078b998e",34,"tHySRFLY.txt"
"35","theblockinthebottommiddle",2,"5b297d9134ffd00001b4a45a",35,"tSvMBx6g.txt"
"36","shadows.Ireallyfocusedontheshadows.Differentperspectives.",2,"5a4d86e221bfa0000108240e",36,"tu86BZnk.txt"
"37","Onlytheitemsonthefrontfaceoftheobject.Thetopobjectsdidnotchange.",2,"5b6647c138a27b0001f1bb05",37,"vcwfTCXR.txt"
"38","Themiddleshapeandbottomtwoleftshapeswoulddiffer",2,"5aa2f6da4eecca0001ddda3f",38,"Vfrkc6xB.txt"
"39","Iprimarilypaidattentiontothediamond-shapedleft-orright-handsideoftheshapethatwasfacingtowardstheviewer,butIknowthesizeofthevarioussidesoftheshapescoulddiffer.Iprimarilyfocusedonthetopmiddleshapeandthestackedshapedtothetoprightwhenmakingmydecisions.",3,"5aedfba176b763000132f7fe",39,"WrSKqtpY.txt"
"40","Thepositioningoftheblocksonthetop,andthedistancebetweenthemselves.",3,"59777b4346b3990001d950be",40,"XU4vvVBc.txt"
"41","ittookmeabitbutitwasthelargerobjectthatwasdifferentnotthe6smallerobjectsonit.",1,"5aea836c26b6680001697a04",41,"z1OtX885.txt"
